=== Re-evaluation on test set ===

User supplied test set
Relation:     Standardized_blind(1)
Instances:     unknown (yet). Reading incrementally
Attributes:   29

=== Predictions on user test set ===

    inst#     actual  predicted error prediction
      105        1:?        1:P       0.7 
      106        1:?        2:N       0.982 
      107        1:?        2:N       0.992 
      108        1:?        2:N       0.792 
      109        1:?        1:P       0.854 
      110        1:?        2:N       0.987 
      111        1:?        2:N       0.81 
      112        1:?        2:N       0.909 
      113        1:?        2:N       0.529 
      114        1:?        2:N       0.7 
      115        1:?        1:P       0.673 
      116        1:?        1:P       0.721 
      117        1:?        2:N       0.778 
      118        1:?        2:N       0.983 
      119        1:?        2:N       0.551 
      120        1:?        2:N       0.941 
      121        1:?        2:N       0.751 
      122        1:?        1:P       0.813 
      123        1:?        2:N       0.852 
      124        1:?        2:N       0.995 
      125        1:?        2:N       0.962 
      126        1:?        2:N       0.997 
      127        1:?        2:N       0.903 
      128        1:?        2:N       0.997 
      129        1:?        2:N       0.915 
      130        1:?        1:P       0.915 
      131        1:?        2:N       0.639 
      132        1:?        1:P       0.878 
      133        1:?        2:N       0.719 
      134        1:?        2:N       0.995 
      135        1:?        2:N       0.891 
      136        1:?        1:P       0.765 
      137        1:?        2:N       0.67 
      138        1:?        2:N       0.983 
      139        1:?        2:N       0.851 
      140        1:?        2:N       0.796 
      141        1:?        2:N       0.953 
      142        1:?        2:N       0.697 
      143        1:?        2:N       0.898 
      144        1:?        2:N       0.804 
      145        1:?        2:N       0.942 
      146        1:?        2:N       0.996 
      147        1:?        2:N       0.862 
      148        1:?        1:P       0.821 
      149        1:?        2:N       0.885 
      150        1:?        2:N       0.935 
      151        1:?        1:P       0.968 
      152        1:?        2:N       0.922 
      153        1:?        2:N       0.984 
      154        1:?        2:N       0.851 
      155        1:?        1:P       0.954 
      156        1:?        2:N       0.748 
      157        1:?        1:P       0.527 
      158        1:?        1:P       0.921 
      159        1:?        2:N       0.65 
      160        1:?        2:N       0.848 
      161        1:?        2:N       0.925 
      162        1:?        2:N       0.963 
      163        1:?        2:N       0.709 
      164        1:?        2:N       0.99 
      165        1:?        1:P       0.749 
      166        1:?        2:N       0.886 
      167        1:?        2:N       0.64 
      168        1:?        2:N       0.527 
      169        1:?        1:P       0.89 
      170        1:?        2:N       0.936 
      171        1:?        1:P       0.704 
      172        1:?        2:N       0.979 
      173        1:?        2:N       0.909 
      174        1:?        2:N       0.943 
      175        1:?        2:N       0.718 
      176        1:?        2:N       0.996 
      177        1:?        2:N       0.99 
      178        1:?        2:N       0.928 
      179        1:?        2:N       0.702 
      180        1:?        2:N       0.993 
      181        1:?        2:N       0.772 
      182        1:?        1:P       0.616 
      183        1:?        2:N       0.997 
      184        1:?        2:N       0.843 
      185        1:?        2:N       0.806 
      186        1:?        1:P       0.568 
      187        1:?        2:N       0.979 
      188        1:?        2:N       0.959 
      189        1:?        2:N       0.979 
      190        1:?        2:N       0.979 
      191        1:?        2:N       0.937 
      192        1:?        1:P       0.576 
      193        1:?        2:N       0.939 
      194        1:?        2:N       0.99 
      195        1:?        2:N       0.903 
      196        1:?        2:N       0.917 
      197        1:?        2:N       0.991 
      198        1:?        2:N       0.989 
      199        1:?        2:N       0.716 
      200        1:?        2:N       0.952 
      201        1:?        2:N       0.938 
      202        1:?        2:N       0.999 
      203        1:?        2:N       0.835 
      204        1:?        2:N       0.973 
      205        1:?        1:P       0.822 
      206        1:?        2:N       1 
      207        1:?        2:N       0.987 
      208        1:?        1:P       0.657 
      209        1:?        2:N       0.994 
      210        1:?        2:N       0.967 
      211        1:?        1:P       0.589 
      212        1:?        2:N       0.78 
      213        1:?        2:N       0.998 
      214        1:?        2:N       0.924 
      215        1:?        2:N       0.974 
      216        1:?        2:N       0.686 
      217        1:?        2:N       0.974 
      218        1:?        1:P       0.718 
      219        1:?        2:N       0.969 
      220        1:?        2:N       0.899 
      221        1:?        2:N       0.724 
      222        1:?        2:N       0.95 
      223        1:?        1:P       0.994 
      224        1:?        1:P       0.64 
      225        1:?        1:P       0.63 
      226        1:?        2:N       0.687 
      227        1:?        2:N       0.921 
      228        1:?        2:N       0.586 
      229        1:?        1:P       0.69 
      230        1:?        2:N       0.973 
      231        1:?        1:P       0.554 
      232        1:?        2:N       0.979 
      233        1:?        1:P       0.753 
      234        1:?        2:N       0.851 
      235        1:?        2:N       0.936 
      236        1:?        2:N       0.759 
      237        1:?        2:N       0.727 
      238        1:?        2:N       0.672 
      239        1:?        2:N       0.975 
      240        1:?        2:N       0.997 
      241        1:?        2:N       0.987 
      242        1:?        1:P       0.59 
      243        1:?        2:N       0.728 
      244        1:?        2:N       0.952 
      245        1:?        2:N       0.845 
      246        1:?        2:N       0.968 
      247        1:?        2:N       0.967 
      248        1:?        2:N       0.665 
      249        1:?        2:N       0.718 
      250        1:?        1:P       0.704 
      251        1:?        2:N       0.987 
      252        1:?        1:P       0.543 
      253        1:?        2:N       0.976 
      254        1:?        1:P       0.625 
      255        1:?        2:N       0.981 
      256        1:?        2:N       0.531 
      257        1:?        2:N       0.671 
      258        1:?        2:N       0.641 
      259        1:?        2:N       0.985 
      260        1:?        1:P       0.528 
      261        1:?        2:N       0.999 
      262        1:?        2:N       0.86 
      263        1:?        2:N       0.523 
      264        1:?        2:N       0.964 
      265        1:?        2:N       0.796 
      266        1:?        2:N       0.943 
      267        1:?        2:N       0.997 
      268        1:?        2:N       0.538 
      269        1:?        2:N       0.991 
      270        1:?        2:N       0.962 
      271        1:?        1:P       0.852 
      272        1:?        2:N       0.849 
      273        1:?        2:N       0.969 
      274        1:?        1:P       0.724 
      275        1:?        2:N       0.984 
      276        1:?        2:N       0.911 
      277        1:?        1:P       0.702 
      278        1:?        1:P       0.747 
      279        1:?        2:N       0.945 
      280        1:?        2:N       0.906 
      281        1:?        2:N       0.765 
      282        1:?        2:N       0.982 
      283        1:?        2:N       0.846 
      284        1:?        2:N       0.88 
      285        1:?        2:N       0.93 
      286        1:?        2:N       0.996 
      287        1:?        2:N       0.97 
      288        1:?        2:N       0.926 
      289        1:?        2:N       0.73 
      290        1:?        2:N       0.853 
      291        1:?        2:N       0.978 
      292        1:?        2:N       0.824 
      293        1:?        2:N       0.719 
      294        1:?        2:N       0.847 
      295        1:?        2:N       0.646 
      296        1:?        2:N       0.751 
      297        1:?        1:P       0.979 
      298        1:?        2:N       0.895 
      299        1:?        2:N       0.996 
      300        1:?        2:N       0.988 
      301        1:?        2:N       0.648 
      302        1:?        2:N       0.998 
      303        1:?        2:N       0.861 
      304        1:?        2:N       0.738 
      305        1:?        1:P       0.841 
      306        1:?        2:N       0.982 
      307        1:?        2:N       0.991 
      308        1:?        1:P       0.958 
      309        1:?        2:N       0.665 
      310        1:?        2:N       0.759 
      311        1:?        2:N       0.839 
      312        1:?        2:N       0.99 
      313        1:?        2:N       0.607 
      314        1:?        2:N       0.947 
      315        1:?        2:N       0.888 
      316        1:?        2:N       0.975 
      317        1:?        2:N       0.976 
      318        1:?        2:N       0.82 
      319        1:?        2:N       0.955 
      320        1:?        2:N       0.571 
      321        1:?        2:N       0.989 
      322        1:?        2:N       0.991 
      323        1:?        2:N       0.832 
      324        1:?        1:P       0.796 
      325        1:?        2:N       0.997 
      326        1:?        2:N       0.658 
      327        1:?        2:N       0.95 
      328        1:?        2:N       0.928 
      329        1:?        2:N       0.753 
      330        1:?        2:N       0.762 
      331        1:?        2:N       0.782 
      332        1:?        2:N       0.75 
      333        1:?        1:P       0.802 
      334        1:?        2:N       0.739 
      335        1:?        2:N       0.992 
      336        1:?        2:N       0.976 
      337        1:?        2:N       0.985 
      338        1:?        1:P       0.503 
      339        1:?        2:N       0.997 
      340        1:?        2:N       0.942 
      341        1:?        2:N       0.966 
      342        1:?        2:N       0.522 
      343        1:?        1:P       0.812 
      344        1:?        2:N       0.871 
      345        1:?        1:P       0.877 
      346        1:?        2:N       0.523 
      347        1:?        2:N       0.99 
      348        1:?        1:P       0.554 
      349        1:?        2:N       0.986 
      350        1:?        1:P       0.703 
      351        1:?        2:N       0.947 
      352        1:?        2:N       0.952 
      353        1:?        2:N       0.779 
      354        1:?        2:N       0.984 
      355        1:?        1:P       0.893 
      356        1:?        2:N       0.993 
      357        1:?        2:N       0.619 
      358        1:?        2:N       0.596 
      359        1:?        2:N       0.565 
      360        1:?        2:N       0.978 
      361        1:?        2:N       0.543 
      362        1:?        1:P       0.547 
      363        1:?        2:N       0.671 
      364        1:?        1:P       0.533 
      365        1:?        1:P       0.583 
      366        1:?        2:N       0.985 
      367        1:?        2:N       0.973 
      368        1:?        2:N       0.927 
      369        1:?        2:N       0.991 
      370        1:?        2:N       0.954 
      371        1:?        2:N       0.986 
      372        1:?        2:N       0.994 
      373        1:?        2:N       0.996 
      374        1:?        2:N       0.887 
      375        1:?        2:N       0.964 
      376        1:?        2:N       0.949 
      377        1:?        2:N       0.992 
      378        1:?        2:N       0.883 
      379        1:?        1:P       0.8 
      380        1:?        1:P       0.855 
      381        1:?        1:P       0.599 
      382        1:?        1:P       0.622 
      383        1:?        2:N       0.929 
      384        1:?        2:N       0.93 
      385        1:?        2:N       0.674 
      386        1:?        2:N       0.922 
      387        1:?        2:N       0.991 
      388        1:?        1:P       0.707 
      389        1:?        2:N       0.77 
      390        1:?        1:P       0.519 
      391        1:?        2:N       0.97 
      392        1:?        2:N       0.942 
      393        1:?        2:N       0.574 
      394        1:?        2:N       0.626 
      395        1:?        2:N       0.745 
      396        1:?        2:N       0.534 
      397        1:?        2:N       0.879 
      398        1:?        2:N       0.99 
      399        1:?        2:N       0.885 
      400        1:?        2:N       0.874 
      401        1:?        1:P       0.912 
      402        1:?        2:N       0.991 
      403        1:?        2:N       0.943 
      404        1:?        2:N       0.987 
      405        1:?        2:N       0.999 
      406        1:?        2:N       0.849 
      407        1:?        2:N       0.983 
      408        1:?        2:N       0.992 
      409        1:?        2:N       0.96 
      410        1:?        2:N       0.825 
      411        1:?        2:N       0.921 
      412        1:?        2:N       0.794 
      413        1:?        2:N       0.524 
      414        1:?        2:N       0.846 
      415        1:?        2:N       0.994 
      416        1:?        2:N       0.819 
      417        1:?        1:P       0.991 
      418        1:?        2:N       0.93 
      419        1:?        2:N       0.912 
      420        1:?        2:N       0.964 
      421        1:?        2:N       0.999 
      422        1:?        1:P       0.991 
      423        1:?        2:N       0.966 
      424        1:?        2:N       0.987 
      425        1:?        2:N       0.664 
      426        1:?        2:N       0.996 
      427        1:?        2:N       0.94 
      428        1:?        2:N       0.636 
      429        1:?        2:N       0.967 
      430        1:?        2:N       0.985 
      431        1:?        1:P       0.961 
      432        1:?        2:N       0.611 
      433        1:?        2:N       0.939 
      434        1:?        2:N       0.883 
      435        1:?        2:N       0.947 
      436        1:?        2:N       0.99 
      437        1:?        2:N       0.934 
      438        1:?        1:P       0.645 
      439        1:?        2:N       0.985 
      440        1:?        2:N       0.67 
      441        1:?        2:N       0.708 
      442        1:?        2:N       0.655 
      443        1:?        2:N       0.997 
      444        1:?        2:N       0.615 
      445        1:?        1:P       0.581 
      446        1:?        2:N       0.969 
      447        1:?        2:N       0.981 
      448        1:?        2:N       0.69 
      449        1:?        2:N       0.665 
      450        1:?        2:N       0.665 
      451        1:?        2:N       0.912 
      452        1:?        2:N       0.784 
      453        1:?        2:N       0.985 
      454        1:?        2:N       0.749 
      455        1:?        2:N       0.953 
      456        1:?        2:N       0.591 
      457        1:?        1:P       0.684 
      458        1:?        2:N       0.726 
      459        1:?        2:N       0.956 
      460        1:?        2:N       0.926 
      461        1:?        2:N       0.999 
      462        1:?        2:N       0.985 
      463        1:?        2:N       0.965 
      464        1:?        2:N       0.904 
      465        1:?        2:N       0.939 
      466        1:?        2:N       0.856 
      467        1:?        2:N       0.988 
      468        1:?        1:P       0.617 
      469        1:?        2:N       0.649 
      470        1:?        2:N       0.989 
      471        1:?        2:N       0.987 
      472        1:?        2:N       0.918 
      473        1:?        2:N       0.733 
      474        1:?        1:P       0.502 
      475        1:?        2:N       0.884 
      476        1:?        2:N       0.998 
      477        1:?        1:P       0.911 
      478        1:?        2:N       0.989 
      479        1:?        1:P       0.618 
      480        1:?        2:N       0.607 
      481        1:?        2:N       0.951 
      482        1:?        1:P       0.754 
      483        1:?        2:N       0.984 
      484        1:?        2:N       0.562 
      485        1:?        1:P       0.663 
      486        1:?        2:N       0.916 
      487        1:?        2:N       0.985 
      488        1:?        2:N       0.56 
      489        1:?        2:N       0.928 
      490        1:?        2:N       0.9 
      491        1:?        2:N       0.966 
      492        1:?        2:N       0.98 
      493        1:?        2:N       0.65 
      494        1:?        2:N       0.77 
      495        1:?        2:N       0.639 
      496        1:?        2:N       0.985 
      497        1:?        2:N       0.996 
      498        1:?        2:N       0.595 
      499        1:?        2:N       0.987 
      500        1:?        2:N       0.725 
      501        1:?        2:N       0.982 
      502        1:?        1:P       0.869 
      503        1:?        1:P       0.521 
      504        1:?        2:N       0.98 
      505        1:?        2:N       0.961 
      506        1:?        2:N       0.671 
      507        1:?        2:N       0.766 
      508        1:?        2:N       0.607 
      509        1:?        2:N       0.991 
      510        1:?        2:N       0.551 
      511        1:?        2:N       0.85 
      512        1:?        1:P       0.696 
      513        1:?        1:P       0.771 
      514        1:?        1:P       0.936 
      515        1:?        2:N       0.799 
      516        1:?        1:P       0.689 
      517        1:?        2:N       0.959 
      518        1:?        2:N       0.935 
      519        1:?        2:N       0.945 
      520        1:?        2:N       0.972 
      521        1:?        2:N       0.982 
      522        1:?        2:N       0.888 
      523        1:?        2:N       0.704 
      524        1:?        1:P       0.745 
      525        1:?        1:P       0.532 
      526        1:?        2:N       0.962 
      527        1:?        2:N       0.963 
      528        1:?        2:N       0.793 
      529        1:?        2:N       0.952 
      530        1:?        2:N       0.98 
      531        1:?        1:P       0.775 
      532        1:?        2:N       0.977 
      533        1:?        2:N       0.764 
      534        1:?        1:P       0.982 
      535        1:?        2:N       0.994 
      536        1:?        2:N       0.982 
      537        1:?        2:N       0.912 
      538        1:?        2:N       0.98 
      539        1:?        2:N       0.896 
      540        1:?        2:N       0.994 
      541        1:?        2:N       0.996 
      542        1:?        2:N       0.984 
      543        1:?        2:N       0.895 
      544        1:?        2:N       0.814 
      545        1:?        2:N       0.956 
      546        1:?        2:N       0.866 
      547        1:?        1:P       0.529 
      548        1:?        2:N       0.711 
      549        1:?        2:N       0.908 
      550        1:?        1:P       0.665 
      551        1:?        2:N       0.968 
      552        1:?        2:N       0.888 
      553        1:?        1:P       0.544 
      554        1:?        2:N       0.968 
      555        1:?        2:N       0.69 
      556        1:?        2:N       0.891 
      557        1:?        1:P       0.968 
      558        1:?        2:N       0.952 
      559        1:?        1:P       0.638 
      560        1:?        2:N       0.964 
      561        1:?        1:P       0.603 
      562        1:?        2:N       0.922 
      563        1:?        2:N       0.987 
      564        1:?        2:N       0.901 
      565        1:?        2:N       0.725 
      566        1:?        2:N       0.813 
      567        1:?        2:N       0.955 
      568        1:?        2:N       0.606 
      569        1:?        2:N       0.72 
      570        1:?        2:N       0.959 
      571        1:?        1:P       0.792 
      572        1:?        2:N       0.633 
      573        1:?        1:P       0.925 
      574        1:?        2:N       0.695 
      575        1:?        2:N       0.98 
      576        1:?        2:N       0.941 
      577        1:?        1:P       0.803 
      578        1:?        2:N       0.595 
      579        1:?        2:N       0.994 
      580        1:?        2:N       0.592 
      581        1:?        1:P       0.755 
      582        1:?        2:N       0.799 
      583        1:?        2:N       0.928 
      584        1:?        2:N       0.953 
      585        1:?        2:N       0.994 
      586        1:?        2:N       0.711 
      587        1:?        1:P       0.561 
      588        1:?        2:N       0.8 
      589        1:?        2:N       0.744 
      590        1:?        2:N       0.959 
      591        1:?        1:P       0.634 
      592        1:?        2:N       0.951 
      593        1:?        2:N       0.905 
      594        1:?        2:N       0.917 
      595        1:?        1:P       0.622 
      596        1:?        2:N       0.996 
      597        1:?        2:N       0.555 
      598        1:?        2:N       0.993 
      599        1:?        2:N       0.662 
      600        1:?        2:N       0.879 
      601        1:?        2:N       0.962 
      602        1:?        1:P       0.554 
      603        1:?        2:N       0.613 
      604        1:?        2:N       0.521 
      605        1:?        2:N       0.997 
      606        1:?        2:N       0.906 
      607        1:?        2:N       0.953 
      608        1:?        2:N       0.991 
      609        1:?        1:P       0.868 
      610        1:?        2:N       0.956 
      611        1:?        2:N       0.907 
      612        1:?        2:N       0.922 
      613        1:?        2:N       0.808 
      614        1:?        1:P       0.845 
      615        1:?        2:N       0.983 
      616        1:?        2:N       0.933 
      617        1:?        2:N       0.99 
      618        1:?        1:P       0.854 
      619        1:?        2:N       0.936 
      620        1:?        2:N       0.913 
      621        1:?        2:N       0.886 
      622        1:?        2:N       0.961 
      623        1:?        2:N       0.846 
      624        1:?        2:N       0.539 
      625        1:?        2:N       0.94 
      626        1:?        2:N       0.787 
      627        1:?        2:N       0.612 
      628        1:?        2:N       0.835 
      629        1:?        2:N       0.941 
      630        1:?        1:P       0.667 
      631        1:?        2:N       0.982 
      632        1:?        2:N       0.996 
      633        1:?        1:P       0.554 
      634        1:?        2:N       0.703 
      635        1:?        2:N       0.851 
      636        1:?        2:N       0.971 
      637        1:?        2:N       0.794 
      638        1:?        2:N       0.932 
      639        1:?        2:N       0.98 
      640        1:?        1:P       0.766 
      641        1:?        1:P       0.772 
      642        1:?        2:N       0.969 
      643        1:?        2:N       0.974 
      644        1:?        2:N       0.997 
      645        1:?        2:N       0.852 
      646        1:?        2:N       0.978 
      647        1:?        1:P       0.696 
      648        1:?        2:N       0.946 
      649        1:?        2:N       0.955 
      650        1:?        2:N       0.967 
      651        1:?        2:N       0.644 
      652        1:?        2:N       0.875 
      653        1:?        2:N       0.994 
      654        1:?        2:N       0.971 
      655        1:?        2:N       0.957 
      656        1:?        2:N       0.903 
      657        1:?        2:N       0.859 
      658        1:?        1:P       0.528 
      659        1:?        2:N       0.898 
      660        1:?        2:N       0.667 
      661        1:?        2:N       0.913 
      662        1:?        2:N       0.838 
      663        1:?        2:N       0.68 
      664        1:?        2:N       0.971 
      665        1:?        2:N       0.969 
      666        1:?        2:N       0.577 
      667        1:?        2:N       0.969 
      668        1:?        2:N       0.941 
      669        1:?        1:P       0.689 
      670        1:?        2:N       0.825 
      671        1:?        2:N       0.918 
      672        1:?        1:P       0.771 
      673        1:?        2:N       0.922 
      674        1:?        2:N       0.858 
      675        1:?        2:N       0.562 
      676        1:?        2:N       0.734 
      677        1:?        2:N       0.817 
      678        1:?        1:P       0.889 
      679        1:?        2:N       0.757 
      680        1:?        2:N       0.868 
      681        1:?        2:N       0.827 
      682        1:?        1:P       0.629 
      683        1:?        1:P       0.755 
      684        1:?        2:N       0.953 
      685        1:?        1:P       0.532 
      686        1:?        2:N       0.891 
      687        1:?        2:N       0.979 
      688        1:?        2:N       0.965 
      689        1:?        2:N       0.879 
      690        1:?        2:N       0.513 
      691        1:?        2:N       0.973 
      692        1:?        1:P       0.933 
      693        1:?        2:N       0.935 
      694        1:?        2:N       0.987 
      695        1:?        2:N       0.979 
      696        1:?        2:N       0.993 
      697        1:?        2:N       0.949 
      698        1:?        2:N       0.819 
      699        1:?        2:N       0.661 
      700        1:?        1:P       0.868 
      701        1:?        2:N       0.948 
      702        1:?        2:N       0.914 
      703        1:?        2:N       0.936 
      704        1:?        2:N       0.994 
      705        1:?        2:N       0.982 
      706        1:?        2:N       0.991 
      707        1:?        2:N       0.86 
      708        1:?        1:P       0.923 
      709        1:?        2:N       0.853 
      710        1:?        2:N       0.952 
      711        1:?        2:N       0.996 
      712        1:?        2:N       0.987 
      713        1:?        2:N       0.831 
      714        1:?        2:N       0.892 
      715        1:?        2:N       0.913 
      716        1:?        1:P       0.799 
      717        1:?        2:N       0.995 
      718        1:?        2:N       0.948 
      719        1:?        2:N       0.981 
      720        1:?        2:N       0.813 
      721        1:?        2:N       0.708 
      722        1:?        2:N       0.981 
      723        1:?        2:N       0.932 
      724        1:?        2:N       0.972 
      725        1:?        2:N       0.99 
      726        1:?        2:N       0.832 
      727        1:?        1:P       0.965 
      728        1:?        2:N       0.958 
      729        1:?        2:N       0.778 
      730        1:?        2:N       0.996 
      731        1:?        2:N       0.862 
      732        1:?        2:N       0.854 
      733        1:?        2:N       0.994 
      734        1:?        2:N       0.856 
      735        1:?        1:P       0.743 
      736        1:?        2:N       0.991 
      737        1:?        2:N       0.774 
      738        1:?        2:N       0.963 
      739        1:?        2:N       0.983 
      740        1:?        2:N       0.891 
      741        1:?        1:P       0.758 
      742        1:?        2:N       0.756 
      743        1:?        1:P       0.735 
      744        1:?        2:N       0.782 
      745        1:?        2:N       0.928 
      746        1:?        2:N       0.783 
      747        1:?        2:N       0.974 
      748        1:?        2:N       0.588 
      749        1:?        2:N       0.975 
      750        1:?        1:P       0.579 
      751        1:?        2:N       0.76 
      752        1:?        2:N       0.999 
      753        1:?        2:N       0.682 
      754        1:?        2:N       0.76 
      755        1:?        2:N       0.938 
      756        1:?        1:P       0.695 
      757        1:?        2:N       0.869 
      758        1:?        2:N       0.727 
      759        1:?        2:N       0.95 
      760        1:?        2:N       0.852 
      761        1:?        2:N       0.952 
      762        1:?        2:N       0.889 
      763        1:?        2:N       0.969 
      764        1:?        2:N       0.502 
      765        1:?        1:P       0.744 
      766        1:?        1:P       0.503 
      767        1:?        2:N       0.961 
      768        1:?        2:N       0.887 
      769        1:?        2:N       0.946 
      770        1:?        2:N       0.81 
      771        1:?        2:N       0.99 
      772        1:?        2:N       0.98 
      773        1:?        2:N       0.967 
      774        1:?        2:N       0.808 
      775        1:?        2:N       0.943 
      776        1:?        2:N       1 
      777        1:?        2:N       0.898 
      778        1:?        2:N       0.978 
      779        1:?        2:N       0.943 
      780        1:?        2:N       0.962 
      781        1:?        2:N       0.982 
      782        1:?        2:N       0.988 
      783        1:?        1:P       0.901 
      784        1:?        2:N       0.54 
      785        1:?        2:N       0.949 
      786        1:?        1:P       0.545 
      787        1:?        2:N       0.972 
      788        1:?        2:N       0.983 
      789        1:?        2:N       0.993 
      790        1:?        2:N       0.673 
      791        1:?        1:P       0.889 
      792        1:?        2:N       0.983 
      793        1:?        2:N       0.962 
      794        1:?        1:P       0.739 
      795        1:?        2:N       0.93 
      796        1:?        2:N       0.944 
      797        1:?        2:N       0.98 
      798        1:?        2:N       0.812 
      799        1:?        2:N       0.868 
      800        1:?        2:N       0.638 
      801        1:?        2:N       0.975 
      802        1:?        2:N       0.883 
      803        1:?        2:N       0.874 
      804        1:?        2:N       0.978 
      805        1:?        1:P       0.861 
      806        1:?        2:N       0.999 
      807        1:?        1:P       0.898 
      808        1:?        2:N       0.941 
      809        1:?        1:P       0.922 
      810        1:?        2:N       0.834 
      811        1:?        2:N       0.991 
      812        1:?        2:N       0.983 
      813        1:?        1:P       0.547 
      814        1:?        2:N       0.92 
      815        1:?        2:N       0.84 
      816        1:?        2:N       0.947 
      817        1:?        2:N       0.98 
      818        1:?        2:N       0.983 
      819        1:?        2:N       0.919 
      820        1:?        2:N       0.974 
      821        1:?        2:N       0.64 
      822        1:?        2:N       0.931 
      823        1:?        2:N       0.588 
      824        1:?        2:N       0.981 
      825        1:?        2:N       0.988 
      826        1:?        1:P       0.634 
      827        1:?        2:N       0.97 
      828        1:?        2:N       0.882 
      829        1:?        1:P       0.669 
      830        1:?        2:N       0.95 
      831        1:?        2:N       0.988 
      832        1:?        2:N       0.513 
      833        1:?        2:N       0.916 
      834        1:?        2:N       0.922 
      835        1:?        2:N       0.999 
      836        1:?        2:N       0.924 
      837        1:?        2:N       0.876 
      838        1:?        1:P       0.68 
      839        1:?        2:N       0.71 
      840        1:?        1:P       0.962 
      841        1:?        2:N       0.942 
      842        1:?        2:N       0.982 
      843        1:?        2:N       0.964 
      844        1:?        2:N       0.998 
      845        1:?        2:N       0.948 
      846        1:?        1:P       0.544 
      847        1:?        2:N       0.945 
      848        1:?        2:N       0.839 
      849        1:?        2:N       0.813 
      850        1:?        2:N       0.989 
      851        1:?        2:N       0.957 
      852        1:?        2:N       0.995 
      853        1:?        2:N       0.744 
      854        1:?        2:N       0.837 
      855        1:?        2:N       0.894 
      856        1:?        1:P       0.839 
      857        1:?        1:P       0.531 
      858        1:?        2:N       0.854 
      859        1:?        1:P       0.754 
      860        1:?        2:N       0.952 
      861        1:?        2:N       0.984 
      862        1:?        2:N       0.508 
      863        1:?        1:P       0.574 
